REGULATOR	REGULATED	EFFECT
PhoP	ugtL	activator
PhoP	ugtL	regulator
PhoP	ugtL	repressor
PhoP	ushA	activator
PhoP	ushA	regulator
PhoP	ushA	repressor
PhoP	virK	activator
PhoP	virK	repressor
PhoP	ybjX	activator
PhoP	ybjX	repressor
PhoP	ydeI	activator
PhoP	ydeI	regulator
PhoP	yrbL	activator
PhoP	yrbL	regulator
PhoR	hilA	regulator
PhoR	hilA	repressor
PhoR	hilD	activator
PhoR	hilE	activator
PmrA	gmm	activator
PmrA	gmm	repressor
PmrA	iroA	activator
PmrA	map	repressor
PmrA	mgtA	activator
PmrA	mgtA	regulator
PmrA	mgtC	regulator
PmrA	pagB	activator
PmrA	pagB	regulator
PmrA	pagC	regulator
PmrA	pagP	regulator
PmrA	pbgE	activator
PmrA	pbgE	regulator
PmrA	pbgM	regulator
PmrA	pbgP	activator
PmrA	pbgP	regulator
PmrA	pcgD	regulator
PmrA	pcgL	regulator
PmrA	pcgP	regulator
PmrA	phoP	activator
PmrA	phoP	repressor
PmrA	pmrA	activator
PmrA	pmrA	regulator
PmrA	pmrA	repressor
PmrA	pmrAB	activator
PmrA	pmrAB	regulator
PmrA	pmrB	activator
PmrA	pmrB	regulator
PmrA	pmrC	activator
PmrA	pmrC	regulator
PmrA	pmrC	repressor
PmrA	pmrCAB	activator
PmrA	pmrCAB	regulator
PmrA	pmrD	activator
PmrA	pmrD	regulator
PmrA	pmrD	repressor
PmrA	pmrHFIJKLM	activator
PmrA	pmrHFIJKLM	regulator
PmrA	rcsB	regulator
PmrA	rcsB	repressor
PmrA	ugd	activator
PmrA	ugd	regulator
PmrA	wzz	activator
PmrA	wzz	repressor
PmrA	ydeI	activator
PmrA	ydeI	regulator
PmrA	yrbL	repressor
PocR	pduF	activator
PocR	pduF	regulator
PocR	pduF	repressor
PocR	pocR	activator
PocR	pocR	regulator
PocR	pocR	repressor
PreA	STM3175	activator
PreA	STM3175	regulator
PreA	mdaB	activator
PreA	mdaB	regulator
PreA	pmrC	activator
PreA	pmrC	regulator
PreA	pmrCAB	activator
PreA	pmrCAB	regulator
PreA	pmrCAB	repressor
PrpR	prpBCDE	activator
PrpR	prpBCDE	regulator
PrpR	prpBCDE	repressor
PrpR	prpR	activator
PrpR	prpR	regulator
PspF	cas1	regulator
PutA	putA	activator
PutA	putA	regulator
PutA	putA	repressor
PutA	putP	activator
PutA	putP	repressor
RamA	acrAB	activator
RamA	hmp	activator
RamA	hmp	regulator
RamA	invF	repressor
RamA	soxS	activator
RamA	sprA	repressor
RamA	ssrA	regulator
RamA	ssrA	repressor
RamA	tolC	activator
RamA	tolC	regulator
RcsA	flhDC	repressor
RcsA	igaA	activator
RcsA	igaA	repressor
RcsA	mgtA	activator
RcsA	pbgP	activator
RcsA	phoP	activator
RcsA	rcsA	activator
RcsA	rcsA	regulator
RcsA	srfJ	regulator
RcsA	ugd	activator
RcsA	yciGFE	activator
RcsA	ydeI	activator
RcsAB	flhD	repressor
RcsAB	flhDC	regulator
RcsAB	flhDC	repressor
RcsAB	igaA	activator
RcsAB	rcsA	activator
RcsAB	rcsA	regulator
RcsAB	rcsA	repressor
RcsB	STM3155	repressor
RcsB	ackA	activator
RcsB	ackA	regulator
RcsB	ackA	repressor
RcsB	bapA	regulator
RcsB	csgD	activator
RcsB	csgD	regulator
RcsB	csgD	repressor
RcsB	flhC	activator
RcsB	flhC	repressor
RcsB	flhD	activator
RcsB	flhDC	activator
RcsB	flhDC	regulator
RcsB	flhDC	repressor
RcsB	fliM	repressor
RcsB	glgC	activator
RcsB	glgX	activator
RcsB	gmm	activator
RcsB	hilA	activator
RcsB	hilA	repressor
RcsB	igaA	activator
RcsB	igaA	regulator
RcsB	igaA	repressor
RcsB	invF	activator
RcsB	mcpC	repressor
RcsB	mgtA	activator
RcsB	mgtA	regulator
RcsB	mgtA	repressor
RcsB	pagO	activator
RcsB	pagO	regulator
RcsB	pagO	repressor
RcsB	pbgP	activator
RcsB	pbgP	regulator
RcsB	pbgP	repressor
RcsB	phoN	repressor
RcsB	phoP	regulator
RcsB	phoP	repressor
RcsB	phoPQ	regulator
RcsB	phoPQ	repressor
RcsB	pmrA	activator
RcsB	pmrA	regulator
RcsB	pmrA	repressor
RcsB	rcsA	activator
RcsB	rcsB	activator
RcsB	rcsB	repressor
RcsB	rflM	activator
RcsB	rpoS	regulator
RcsB	siiE	regulator
RcsB	sipC	activator
RcsB	spvA	activator
RcsB	spvA	regulator
RcsB	spvA	repressor
RcsB	spvAB	activator
RcsB	spvAB	repressor
RcsB	srfA	regulator
RcsB	srfABC	regulator
RcsB	srfABC	repressor
RcsB	srfB	regulator
RcsB	srfC	regulator
RcsB	srfJ	activator
RcsB	srfJ	regulator
RcsB	srfJ	repressor
RcsB	tviA	activator
RcsB	tviA	regulator
RcsB	ugd	activator
RcsB	ugd	regulator
RcsB	wzz	activator
RcsB	wzz	regulator
RcsB	wzz	repressor
RcsB	yciGFE	activator
RcsB	yciGFE	regulator
RcsB	yciGFE	repressor
RcsB	ydeI	activator
RcsB	ydeI	regulator
RflM	flhC	activator
RflM	flhD	repressor
RflM	flhDC	activator
RflM	flhDC	regulator
RflM	flhDC	repressor
RflM	fliC	repressor
RflM	fliZ	activator
RflM	fljB	repressor
RflM	rcsB	regulator
RflM	rflM	activator
RflM	rflM	regulator
Rob	acrAB	activator
Rob	acrAB	regulator
Rob	mgtA	activator
Rob	mgtA	regulator
Rob	mgtA	repressor
Rob	ompW	regulator
Rob	phoP	activator
Rob	rob	activator
Rob	rob	regulator
Rob	soxS	activator
Rob	tolC	activator
RpoS	Crl	activator
RpoS	Crl	regulator
RpoS	ahpF	regulator
RpoS	bapA	regulator
RpoS	bapA	repressor
RpoS	cacA	activator
RpoS	cacA	regulator
RpoS	csgD	activator
RpoS	csgD	regulator
RpoS	dps	activator
RpoS	dps	regulator
RpoS	fis	activator
RpoS	fis	regulator
RpoS	fis	repressor
RpoS	fur	activator
RpoS	gyrB	activator
RpoS	hilA	activator
RpoS	hns	activator
RpoS	hns	regulator
RpoS	hns	repressor
RpoS	igaA	activator
RpoS	igaA	regulator
RpoS	igaA	repressor
RpoS	iraP	activator
RpoS	iraP	regulator
RpoS	iraP	repressor
RpoS	katE	activator
RpoS	katE	regulator
RpoS	katE	repressor
RpoS	mgtA	repressor
RpoS	mgtC	activator
RpoS	narZ	activator
RpoS	narZ	repressor
RpoS	ogt	activator
RpoS	ogt	regulator
RpoS	ogt	repressor
RpoS	pagC	regulator
RpoS	pbgP	activator
RpoS	phoP	activator
RpoS	phoP	repressor
RpoS	phoPQ	repressor
RpoS	proV	activator
RpoS	rpoS	activator
RpoS	rpoS	regulator
RpoS	rpoS	repressor
RpoS	rstA	regulator
RpoS	sodCII	activator
RpoS	sodCII	regulator
RpoS	spvA	activator
RpoS	spvA	regulator
RpoS	spvA	repressor
RpoS	spvB	activator
RpoS	spvR	activator
RpoS	ssrA	activator
RpoS	yciF	regulator
RpoS	ydeI	activator
RpoS	ydeI	regulator
RpoS	ydeI	repressor
RpoS	ygaU	regulator
RstA	asr	activator
RstA	bapA	regulator
RstA	bapA	repressor
RstA	csgD	repressor
RstA	feoB	activator
RstA	feoB	regulator
RstA	feoB	repressor
RstA	hns	activator
RstA	narZ	activator
RstA	narZ	regulator
RstA	narZ	repressor
RstA	rpoS	activator
RstA	rpoS	repressor
RstA	rstA	activator
RstA	rstA	regulator
RstA	rstA	repressor
RstA	spvA	regulator
RstA	spvA	repressor
RtsA	dsbA	activator
RtsA	dsbA	regulator
RtsA	flhDC	activator
RtsA	flhDC	repressor
RtsA	hilA	activator
RtsA	hilA	regulator
RtsA	hilA	repressor
RtsA	hilC	activator
RtsA	hilC	regulator
RtsA	hilD	activator
RtsA	hilD	regulator
RtsA	invC	activator
RtsA	invF	activator
RtsA	invF	regulator
RtsA	lpxR	regulator
RtsA	mcpC	regulator
RtsA	siiA	activator
RtsA	siiA	regulator
RtsA	siiE	activator
RtsA	slrP	activator
RtsA	slrP	regulator
RtsA	sopA	activator
RtsA	sopB	activator
RtsB	fimA	activator
RtsB	flhD	repressor
RtsB	flhDC	activator
RtsB	flhDC	regulator
RtsB	flhDC	repressor
RtsB	fliZ	activator
RtsB	hilA	activator
RtsB	hilA	repressor
STM4463	STM4467	activator
STM4463	STM4467	regulator
STM4463	STM4467	repressor
STM4463	ssaG	activator
SdiA	rck	activator
SdiA	rck	regulator
SdiA	sdiA	activator
SdiA	sdiA	regulator
SdiA	srgE	activator
SdiA	srgE	regulator
SirA	csrB	activator
SirA	csrB	regulator
SirA	csrB	repressor
SirA	flhD	repressor
SirA	flhDC	repressor
SirA	hilA	activator
SirA	hilA	regulator
SirA	hilA	repressor
SirA	hilC	activator
SirA	hilC	regulator
SirA	hilD	activator
SirA	hilD	regulator
SirA	hilD	repressor
SirA	invF	activator
SirA	invF	regulator
SirA	siiA	activator
SirA	siiE	activator
SirA	siiE	regulator
SirA	sirC	activator
SirA	sirC	regulator
SirA	sopB	regulator
SirA	ssaG	regulator
SirA	sspC	activator
SirA	ssrAB	regulator
SirA	sulA	repressor
SirB	sirC	activator
SirB	sirC	regulator
SirB	sirC	repressor
SlyA	flhDC	regulator
SlyA	flhDC	repressor
SlyA	hlyE	regulator
SlyA	ompD	activator
SlyA	pagC	regulator
SlyA	sodCII	repressor
SlyA	ssaV	regulator
SlyA	ssrA	activator
SlyA	ssrA	regulator
SlyA	ssrAB	activator
SlyA	ugtL	regulator
SoxR	soxS	activator
SoxR	soxS	regulator
SoxS	acrAB	activator
SoxS	acrAB	regulator
SoxS	mgtA	activator
SoxS	micF	activator
SoxS	micF	regulator
SoxS	nfo	activator
SoxS	nfsA	activator
SoxS	nifJ	regulator
SoxS	ompW	activator
SoxS	ompW	regulator
SoxS	ompW	repressor
SoxS	phoPQ	activator
SoxS	rob	regulator
SoxS	rob	repressor
SoxS	sodA	activator
SoxS	soxS	activator
SoxS	soxS	regulator
SoxS	tolC	activator
SoxS	zwf	activator
SprB	hilA	activator
SprB	hilA	repressor
SprB	hilC	repressor
SprB	hilD	regulator
SprB	hilD	repressor
SprB	siiA	activator
SprB	siiA	regulator
SprB	sprB	activator
SprB	sprB	repressor
SpvR	crp	activator
SpvR	entC	activator
SpvR	spvA	activator
SpvR	spvA	regulator
SpvR	spvA	repressor
SpvR	spvABC	activator
SpvR	spvABC	regulator
SpvR	spvABCD	activator
SpvR	spvABCD	regulator
SpvR	spvB	activator
SpvR	spvB	regulator
SpvR	spvB	repressor
SpvR	spvC	regulator
SpvR	spvR	activator
SpvR	spvR	regulator
SpvR	spvR	repressor
SsrB	STM2237	regulator
SsrB	araC	regulator
SsrB	hilD	activator
SsrB	map	regulator
SsrB	ompR	regulator
SsrB	rpoE	regulator
SsrB	sciF	activator
SsrB	sciF	regulator
SsrB	sciS	regulator
SsrB	sciS	repressor
SsrB	slrP	activator
SsrB	srfA	regulator
SsrB	srfB	regulator
SsrB	srfC	regulator
SsrB	srfJ	activator
SsrB	srfJ	regulator
SsrB	srfM	regulator
SsrB	srfN	activator
SsrB	srfN	regulator
SsrB	srfN	repressor
SsrB	ssaB	activator
SsrB	ssaB	regulator
SsrB	ssaG	activator
SsrB	ssaG	regulator
SsrB	ssaG	repressor
SsrB	ssaJ	regulator
SsrB	ssaR	regulator
SsrB	ssaV	activator
SsrB	ssaV	regulator
SsrB	sseA	activator
SsrB	sseA	regulator
SsrB	sseA	repressor
SsrB	sseAB	activator
SsrB	sseG	activator
SsrB	sseL	activator
SsrB	sseL	regulator
SsrB	sspH2	activator
SsrB	sspH2	regulator
SsrB	ssrA	activator
SsrB	ssrA	regulator
SsrB	ssrAB	regulator
SsrB	ssrAB	repressor
SsrB	ssrB	activator
SsrB	ssrB	regulator
SsrB	ssrB	repressor
StpA	dsbA	repressor
StpA	hns	regulator
StpA	ompS1	repressor
TctD	tctC	activator
TctD	tctC	repressor
TviA	flhC	activator
TviA	flhC	repressor
TviA	flhDC	regulator
TviA	flhDC	repressor
TviA	fliZ	repressor
TviA	glgC	activator
TviA	glgX	activator
TviA	hilA	repressor
TviA	hilD	repressor
TviA	rcsB	activator
TviA	tviA	activator
TviA	tviA	regulator
TviA	tviA	repressor
TyrR	aniC	activator
TyrR	hyaB	activator
YdgT	map	regulator
YdgT	ssrA	repressor
YdgT	ssrAB	activator
YdgT	ssrB	repressor
YdiV	fliA	activator
YdiV	fliA	repressor
YdiV	fliC	regulator
YdiV	fliC	repressor
YdiV	fliZ	activator
YdiV	fliZ	regulator
YdiV	fliZ	repressor
YdiV	ydiV	activator
YdiV	ydiV	regulator
YdiV	ydiV	repressor
Zur	zinT	regulator
Zur	znuA	regulator
